City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,salavan,15.7167,106.4167,289.73,72,34,1.84,LA,1738451801
84,celestun,20.8667,-90.4,298.05,81,64,6.02,MX,1738451803
85,ust-nera,64.5667,143.2,237.88,99,99,1.35,RU,1738451804
86,duku,11.2361,4.9073,298.38,19,22,2.37,NG,1738451805
87,hithadhoo,-0.6,73.0833,300.74,77,100,3.31,MV,1738451806
88,chonchi,-42.6128,-73.8092,290.44,57,36,1.64,CL,1738451807
89,sittwe,20.15,92.9,292.73,83,23,4.72,MM,1738451808
90,nishinoomote,30.7333,131.0,287.62,81,100,10.87,JP,1738451809
91,sola,-13.8833,167.55,301.21,77,100,10.02,VU,1738451810
92,fenyi,27.8112,114.6681,281.27,94,100,1.02,CN,1738451813
93,douentza,14.9951,-2.9517,294.71,17,89,4.42,ML,1738451814
94,qaqortoq,60.7167,-46.0333,255.87,93,31,1.65,GL,1738451815
95,buckeye,33.3703,-112.5838,297.71,19,22,0.38,US,1738451590
96,mugia,43.1041,-9.2179,285.32,90,100,3.12,ES,1738451817
97,geraldton,-28.7667,114.6,294.38,88,0,4.12,AU,1738451818
98,susuman,62.7833,148.1667,228.63,100,83,0.33,RU,1738451819
99,quellon,-43.1167,-73.6167,288.21,62,65,2.0,CL,1738451820
100,fada,7.25,4.0667,297.69,81,7,1.05,NG,1738451822
101,margate,51.3813,1.3862,276.87,81,3,0.45,GB,1738451823
102,albany,42.6001,-73.9662,262.38,73,30,6.71,US,1738451824
103,iskateley,67.6803,53.1512,252.57,95,56,5.78,RU,1738451825
104,bilibino,68.0546,166.4372,239.67,98,100,0.35,RU,1738451826
105,tynda,55.1667,124.7167,252.55,97,100,2.05,RU,1738451827
106,burela de cabo,43.65,-7.4,283.75,92,100,1.33,ES,1738451828
107,klyuchi,52.2667,79.1667,266.62,95,100,5.73,RU,1738451829
108,shevchenko,48.5,35.0,274.98,99,100,3.75,UA,1738451831
109,harper,4.375,-7.7169,299.87,83,29,2.45,LR,1738451832
110,saipan,15.1355,145.701,300.54,89,75,5.14,MP,1738451833
111,tukrah,32.5341,20.5791,286.84,55,96,3.7,LY,1738451834
112,loukhi,66.0764,33.0381,267.03,93,100,5.48,RU,1738451835
113,wailua homesteads,22.0669,-159.378,298.07,62,0,4.12,US,1738451836
114,papatowai,-46.5619,169.4708,288.38,52,70,3.11,NZ,1738451837
115,pathein,16.7833,94.7333,295.29,80,100,4.62,MM,1738451838
116,serov,59.6033,60.5787,272.31,96,100,1.75,RU,1738451839
117,east london,-33.0153,27.9116,295.53,87,47,4.82,ZA,1738451841
118,yung shue wan,22.2333,114.1167,291.9,90,100,0.45,HK,1738451842
119,kodiak,57.79,-152.4072,274.88,80,0,1.54,US,1738451843
120,tiksi,71.6872,128.8694,244.88,98,100,4.84,RU,1738451844
121,haciqabul,40.0408,48.9445,278.86,81,3,0.65,AZ,1738451846
122,bria,6.5423,21.9863,295.17,27,61,1.12,CF,1738451847
123,avarua,-21.2078,-159.775,301.18,74,20,4.63,CK,1738451849
124,kailua-kona,19.6406,-155.9956,301.26,75,40,4.12,US,1738451770
125,vilyuchinsk,52.9306,158.4028,262.3,82,71,4.48,RU,1738451851
126,itoman,26.1247,127.6694,292.16,86,75,7.2,JP,1738451852
127,tommot,58.9564,126.2925,247.16,100,100,0.85,RU,1738451853
128,hobyo,5.3505,48.5268,296.96,79,70,9.32,SO,1738451854
129,kenora,49.8167,-94.4337,263.69,85,100,6.17,CA,1738451855
130,severo-yeniseyskiy,60.3725,93.0408,239.33,100,55,1.47,RU,1738451856
131,kamaishi,39.2667,141.8833,272.32,59,92,1.62,JP,1738451857
132,samalut,28.3121,30.7101,286.75,67,100,3.97,EG,1738451859
133,bikenibeu village,1.3673,173.1241,302.13,84,40,7.2,KI,1738451861
134,rikaze,29.25,88.8833,269.74,20,0,1.18,CN,1738451862
135,yuzhno-kurilsk,44.0306,145.8556,269.96,76,100,4.82,RU,1738451863
136,kiruna,67.8557,20.2251,270.66,86,100,2.57,SE,1738451864
137,viveiro,43.6623,-7.5934,285.5,89,100,1.67,ES,1738451865
138,klaksvik,62.2266,-6.589,279.34,92,100,5.54,FO,1738451867
139,carnarvon,-24.8667,113.6333,302.12,60,36,9.62,AU,1738451868
140,kiuruvesi,63.65,26.6167,268.46,95,93,2.86,FI,1738451869
141,fort st. john,56.2499,-120.8529,248.09,58,40,5.66,CA,1738451870
142,arish,31.1316,33.7984,288.47,65,17,2.47,EG,1738451871
143,hamilton,39.1834,-84.5333,275.82,65,0,5.14,US,1738451872
144,smirnykh,49.75,142.8333,255.89,85,99,2.12,RU,1738451873
145,bom jardim,-7.7958,-35.5872,297.04,79,20,4.32,BR,1738451874
146,greenville,35.6127,-77.3663,286.12,67,100,5.14,US,1738451875
147,el calafate,-50.3408,-72.2768,287.92,53,36,3.7,AR,1738451877
148,kuala belait,4.5833,114.1833,296.5,88,100,1.9,BN,1738451878
149,bubaque,11.2833,-15.8333,299.68,56,1,6.03,GW,1738451879
150,olonkinbyen,70.9221,-8.7187,273.07,97,100,13.03,SJ,1738451880
151,essaouira,31.5125,-9.77,285.87,71,0,2.57,MA,1738451881
152,afonso bezerra,-5.4983,-36.5056,301.03,56,4,8.47,BR,1738451882
153,garoowe,8.4054,48.4845,291.3,77,9,5.35,SO,1738451884
154,nizhneudinsk,54.9076,99.0276,250.53,99,62,0.75,RU,1738451885
155,port-vila,-17.7338,168.3219,301.93,74,100,5.14,VU,1738451887
156,bidar,17.9,77.55,293.66,42,100,2.7,IN,1738451888
157,anadyr,64.75,177.4833,257.43,84,100,6.0,RU,1738451889
158,alice springs,-23.7,133.8833,306.9,22,8,2.57,AU,1738451890
159,bamboo flat,11.7,92.7167,294.2,94,40,1.03,IN,1738451891
160,tolanaro,-25.0319,46.9987,297.58,87,90,1.7,MG,1738451892
161,port alfred,-33.5906,26.891,293.25,96,0,3.47,ZA,1738451893
162,obo,5.3998,26.4869,296.34,29,61,1.63,CF,1738451894
163,talnakh,69.4865,88.3972,242.7,96,17,1.91,RU,1738451896
164,visconde do rio branco,-21.0103,-42.8406,296.46,89,93,2.52,BR,1738451897
165,taybad,34.74,60.7756,273.84,66,0,2.48,IR,1738451898
166,maceio,-9.6658,-35.7353,298.84,88,20,1.54,BR,1738451899
167,arraial do cabo,-22.9661,-42.0278,298.39,87,99,11.09,BR,1738451900
168,hawaiian paradise park,19.5933,-154.9731,299.75,86,100,3.09,US,1738451901
169,al marj,32.488,20.8317,283.87,62,93,5.59,LY,1738451902
170,shakhun'ya,57.6758,46.6114,273.82,98,100,4.64,RU,1738451903
171,kurmuk,10.55,34.2833,297.04,29,28,1.56,SD,1738451905
172,shakawe,-18.3667,21.85,295.2,72,88,2.29,BW,1738451906
173,san luis de la loma,17.2706,-100.8939,301.98,51,0,3.84,MX,1738451907
174,new norfolk,-42.7826,147.0587,296.32,32,31,0.55,AU,1738451908
175,cabo san lucas,22.8909,-109.9124,295.32,43,0,3.09,MX,1738451728
176,mont-dore,-22.2833,166.5833,302.61,73,100,5.61,NC,1738451910
177,puerto ayora,-0.7393,-90.3518,298.46,95,83,0.45,EC,1738451911
